date,location,total_cases,new_cases,total_deaths,population
2020-03-01,India,3,3,0,1380004385
2020-03-05,India,30,27,0,1380004385
2020-03-10,India,62,32,1,1380004385
2020-03-15,India,114,52,2,1380004385
2020-03-20,India,258,144,4,1380004385
2020-03-25,India,657,399,12,1380004385
2020-04-01,India,1998,1341,58,1380004385
2020-04-10,India,7600,5602,249,1380004385
2020-04-20,India,18539,10939,592,1380004385
2020-05-01,India,35043,16504,1147,1380004385
2020-05-10,India,62939,27896,2109,1380004385
2020-05-20,India,106750,43811,3303,1380004385
2020-06-01,India,198370,91620,5598,1380004385
2020-06-10,India,287155,88785,8102,1380004385
2020-06-20,India,395048,107893,12948,1380004385
2020-07-01,India,604641,209593,17834,1380004385
2020-03-01,United States,75,75,1,331002651
2020-03-05,United States,233,158,12,331002651
2020-03-10,United States,1010,777,30,331002651
2020-03-15,United States,3487,2477,68,331002651
2020-03-20,United States,19100,15613,244,331002651
2020-03-25,United States,68572,49472,1036,331002651
2020-04-01,United States,213372,144800,4757,331002651
2020-04-10,United States,496535,283163,18409,331002651
2020-04-20,United States,792938,296403,42518,331002651
2020-05-01,United States,1103461,310523,64943,331002651
2020-05-10,United States,1321785,218324,79488,331002651
2020-05-20,United States,1551853,230068,93439,331002651
2020-06-01,United States,1792051,240198,104383,331002651
2020-06-10,United States,2000702,208651,112924,331002651
2020-06-20,United States,2279650,278948,119977,331002651
2020-07-01,United States,2689739,410089,128105,331002651
2020-03-01,Brazil,2,2,0,212559417
2020-03-05,Brazil,13,11,0,212559417
2020-03-10,Brazil,34,21,0,212559417
2020-03-15,Brazil,200,166,0,212559417
2020-03-20,Brazil,904,704,11,212559417
2020-03-25,Brazil,2554,1650,59,212559417
2020-04-01,Brazil,6836,4282,241,212559417
2020-04-10,Brazil,19638,12802,1057,212559417
2020-04-20,Brazil,40643,21005,2584,212559417
2020-05-01,Brazil,91261,50618,6329,212559417
2020-05-10,Brazil,156061,64700,10656,212559417
2020-05-20,Brazil,271628,115567,17971,212559417
2020-06-01,Brazil,526447,254819,29937,212559417
2020-06-10,Brazil,739503,213056,38497,212559417
2020-06-20,Brazil,1067579,328076,49976,212559417
2020-07-01,Brazil,1448753,381174,60632,212559417
